Person,Job Title,Fees,Contact Info,Address,Recommendation,Gender,Hospital,Email,Experience
James Jones,Pediatric Surgeon,$438 ,76-701989,Nabatieh,4,Male,Hammoud Hospital,james.jones@gmail.com,22
Scott Olson,General Surgeon,$670 ,76-972125,Aley,4,Male,Mount Lebanon,scott.olson@gmail.com,2
Maria Knight,Orthopedic Surgeon,"$1,407 ",76-757777,Zahle,5,Female,General Hospital,maria.knight@gmail.com,35
Kelly Cox,Oncologic Surgeon,"$1,301 ",71-434182,Beirut,10,Female,Najjar,kelly.cox@gmail.com,16
Amy Manning,General Surgeon,"$1,197 ",76-960901,Sidon,0,Female,General Hospital,amy.manning@gmail.com,24
Anthony Hudson,Vascular Surgeon,"$1,140 ",76-152174,Jounieh,0,Male,General Hospital,anthony.hudson@gmail.com,18
Trevor Wood,Pediatric Surgeon,"$1,209 ",76-793443,Byblos,9,Male,Saint Georges,trevor.wood@gmail.com,21
Briana Lawson,Urologic Surgeon,"$1,478 ",76-693698,Zahle,5,Female,General Hospital,briana.lawson@gmail.com,8
Miranda Bell,Vascular Surgeon,"$1,119 ",76-295226,Sidon,2,Female,General Hospital,miranda.bell@gmail.com,7
Lucas Howard,Urologic Surgeon,"$1,275 ",71-137951,Baalbek,3,Male,Al Zahraa,lucas.howard@gmail.com,34
Shawn Kelley,Vascular Surgeon,$907 ,81-764682,Tripoli,5,Male,General Hospital,shawn.kelley@gmail.com,7
Steven Martinez,Pediatric Surgeon,$729 ,81-853653,Tyre,7,Male,General Hospital,steven.martinez@gmail.com,5
Paul Sanchez,Cardiothoracic Surgeon,$742 ,71-497016,Byblos,7,Male,Notre Dame de Secours,paul.sanchez@gmail.com,16
Jonathan Fox,Cardiothoracic Surgeon,"$1,417 ",76-585205,Aley,7,Male,Aley Medical Center,jonathan.fox@gmail.com,24
Brandon Rodriguez,Vascular Surgeon,"$1,240 ",81-765910,Nabatieh,9,Male,Al Najda,brandon.rodriguez@gmail.com,25
Christian Blair,Oncologic Surgeon,$998 ,76-904075,Baalbek,10,Male,Dar El Amal,christian.blair@gmail.com,28
Charles Nguyen,Orthopedic Surgeon,$857 ,81-762663,Zahle,5,Male,General Hospital,charles.nguyen@gmail.com,23
Paul Meza,Vascular Surgeon,$876 ,81-493733,Jounieh,2,Male,General Hospital,paul.meza@gmail.com,21
Laura Young,Orthopedic Surgeon,"$1,074 ",76-555130,Zahle,5,Female,General Hospital,laura.young@gmail.com,6
Elaine Freeman,Cardiothoracic Surgeon,$395 ,71-393243,Baalbek,5,Female,Dar El Amal,elaine.freeman@gmail.com,7
Lindsey Lane,Orthopedic Surgeon,$321 ,71-749748,Sidon,8,Female,General Hospital,lindsey.lane@gmail.com,7
Holly Young,Urologic Surgeon,"$1,468 ",71-924715,Baalbek,4,Female,Dar El Amal,holly.young@gmail.com,5
Christopher Nguyen,General Surgeon,$964 ,81-887318,Tyre,4,Male,General Hospital,christopher.nguyen@gmail.com,17
Caleb Hale,Pediatric Surgeon,$860 ,81-581129,Sidon,3,Male,General Hospital,caleb.hale@gmail.com,19
Stephanie Lee,Plastic Surgeon,$471 ,76-242323,Nabatieh,5,Female,Al Najda,stephanie.lee@gmail.com,28
Adam Oliver,Neurosurgeon,"$1,179 ",81-199620,Aley,3,Male,Mount Lebanon,adam.oliver@gmail.com,23
Sherry Thompson,Vascular Surgeon,"$1,154 ",81-202166,Sidon,4,Female,General Hospital,sherry.thompson@gmail.com,25
Jake Owens,Urologic Surgeon,$839 ,71-836718,Sidon,9,Male,General Hospital,jake.owens@gmail.com,16
Andrew Smith,Pediatric Surgeon,"$1,417 ",71-248640,Tyre,6,Male,General Hospital,andrew.smith@gmail.com,31
Alex Rodriguez,Cardiothoracic Surgeon,"$1,434 ",71-779349,Beirut,7,Male,Rafic Hariri,alex.rodriguez@gmail.com,34
Yvonne Garrison,Oncologic Surgeon,$385 ,71-520367,Tripoli,5,Male,General Hospital,yvonne.garrison@gmail.com,9
Gloria Schwartz,Pediatric Surgeon,$379 ,81-620743,Zahle,9,Female,General Hospital,gloria.schwartz@gmail.com,2
Laura Bell,General Surgeon,$509 ,71-797400,Nabatieh,1,Female,Hammoud Hospital,laura.bell@gmail.com,29
Denise Hamilton,Orthopedic Surgeon,$772 ,76-575406,Sidon,8,Male,General Hospital,denise.hamilton@gmail.com,33
Julia Gomez,Oncologic Surgeon,$903 ,81-431113,Tripoli,10,Female,General Hospital,julia.gomez@gmail.com,7
Joshua Davis,General Surgeon,$719 ,71-317992,Baalbek,7,Male,Dar El Amal,joshua.davis@gmail.com,31
Matthew Murray,Oncologic Surgeon,$474 ,81-475910,Zahle,2,Male,General Hospital,matthew.murray@gmail.com,28
Joseph Morris,Urologic Surgeon,"$1,176 ",76-155910,Tripoli,4,Male,General Hospital,joseph.morris@gmail.com,34
Melissa Barnes,Neurosurgeon,"$1,192 ",81-463659,Jounieh,10,Female,General Hospital,melissa.barnes@gmail.com,2
Jeremy Franco,Oncologic Surgeon,$892 ,81-861596,Tripoli,3,Male,General Hospital,jeremy.franco@gmail.com,15
Elizabeth Murphy,Orthopedic Surgeon,$668 ,81-981127,Tyre,9,Female,General Hospital,elizabeth.murphy@gmail.com,22
Tony Ramirez,Plastic Surgeon,$988 ,81-833851,Tyre,8,Male,General Hospital,tony.ramirez@gmail.com,31
Jennifer Warner,Oncologic Surgeon,"$1,108 ",71-116394,Byblos,9,Female,Notre Dame de Secours,jennifer.warner@gmail.com,18
Jeremy Watkins,Neurosurgeon,$847 ,71-498699,Tripoli,10,Male,General Hospital,jeremy.watkins@gmail.com,20
Marcus Brooks,Urologic Surgeon,"$1,332 ",71-753651,Tyre,4,Male,General Hospital,marcus.brooks@gmail.com,29
Veronica Mcdaniel,Orthopedic Surgeon,"$1,310 ",71-445700,Sidon,1,Female,General Hospital,veronica.mcdaniel@gmail.com,25
Cheryl Mendoza,Neurosurgeon,"$1,485 ",76-623646,Sidon,8,Female,General Hospital,cheryl.mendoza@gmail.com,3
Doris Thompson,Orthopedic Surgeon,"$1,417 ",71-770768,Sidon,3,Male,General Hospital,doris.thompson@gmail.com,10
Corey Mercado,Cardiothoracic Surgeon,"$1,276 ",71-748571,Sidon,8,Male,General Hospital,corey.mercado@gmail.com,33
Patrick Odonnell,Oncologic Surgeon,"$1,126 ",76-707855,Zahle,4,Male,General Hospital,patrick.odonnell@gmail.com,25
Amanda Hart,Urologic Surgeon,$841 ,71-239088,Nabatieh,4,Female,Al Najda,amanda.hart@gmail.com,18
Jennifer Davis,Orthopedic Surgeon,$365 ,81-955234,Byblos,6,Female,Notre Dame de Secours,jennifer.davis@gmail.com,27
Carolyn Bennett,Pediatric Surgeon,$839 ,81-462530,Baalbek,4,Female,Al Zahraa,carolyn.bennett@gmail.com,5
Maria Harrington,Neurosurgeon,$589 ,71-489400,Sidon,8,Female,General Hospital,maria.harrington@gmail.com,28
Caleb King,Orthopedic Surgeon,$686 ,76-565691,Tyre,5,Male,General Hospital,caleb.king@gmail.com,20
Jessica Mccoy,Cardiothoracic Surgeon,$381 ,71-781574,Aley,6,Female,Mount Lebanon,jessica.mccoy@gmail.com,30
Jennifer Hensley,General Surgeon,$456 ,81-229565,Nabatieh,2,Female,Hammoud Hospital,jennifer.hensley@gmail.com,3
Mary Chan,Neurosurgeon,"$1,010 ",81-687659,Tyre,2,Female,General Hospital,mary.chan@gmail.com,14
Jeffery Craig,Orthopedic Surgeon,$306 ,76-362114,Byblos,0,Male,Notre Dame de Secours,jeffery.craig@gmail.com,14
Michelle Davis,Neurosurgeon,"$1,235 ",76-671634,Tyre,6,Male,General Hospital,michelle.davis@gmail.com,22
Gregory Bridges,Cardiothoracic Surgeon,"$1,333 ",71-162641,Zahle,2,Male,General Hospital,gregory.bridges@gmail.com,3
Christopher Carter,Urologic Surgeon,"$1,172 ",81-279091,Byblos,1,Male,Notre Dame de Secours,christopher.carter@gmail.com,3
David Solomon,Cardiothoracic Surgeon,"$1,295 ",81-169897,Sidon,4,Male,General Hospital,david.solomon@gmail.com,25
Kayla Sanchez,Urologic Surgeon,"$1,268 ",76-272335,Zahle,0,Female,General Hospital,kayla.sanchez@gmail.com,20
Erik Martin,Plastic Surgeon,"$1,394 ",76-273728,Tyre,3,Male,General Hospital,erik.martin@gmail.com,35
Tanya Richardson,Urologic Surgeon,$935 ,81-680514,Baalbek,2,Female,Al Zahraa,tanya.richardson@gmail.com,4
William Sharp,Vascular Surgeon,$611 ,81-297252,Baalbek,0,Male,Dar El Amal,william.sharp@gmail.com,8
Rebecca Mann,Plastic Surgeon,"$1,363 ",71-102141,Sidon,10,Female,General Hospital,rebecca.mann@gmail.com,26
Kristina Savage,Urologic Surgeon,$835 ,71-530426,Baalbek,1,Female,Dar El Amal,kristina.savage@gmail.com,35
Cynthia Marshall,Pediatric Surgeon,"$1,148 ",76-586625,Zahle,1,Female,General Hospital,cynthia.marshall@gmail.com,34
Jeanette Petersen,Vascular Surgeon,$717 ,81-547012,Baalbek,9,Female,Dar El Amal,jeanette.petersen@gmail.com,19
Michael Wilson,Plastic Surgeon,"$1,108 ",71-192030,Tyre,2,Male,General Hospital,michael.wilson@gmail.com,33
Alexa Higgins,Urologic Surgeon,$520 ,81-877316,Beirut,0,Female,Rafic Hariri,alexa.higgins@gmail.com,10
Veronica Ford,Vascular Surgeon,"$1,370 ",71-625634,Aley,7,Female,Aley Medical Center,veronica.ford@gmail.com,2
Brandon White,Oncologic Surgeon,$380 ,76-511305,Jounieh,6,Male,General Hospital,brandon.white@gmail.com,21
Julie Graham,Neurosurgeon,"$1,084 ",71-397671,Jounieh,4,Female,General Hospital,julie.graham@gmail.com,19
Richard Hernandez,Orthopedic Surgeon,"$1,194 ",71-758411,Sidon,4,Male,General Hospital,richard.hernandez@gmail.com,30
Michelle Santiago,Plastic Surgeon,"$1,474 ",81-247684,Zahle,9,Male,General Hospital,michelle.santiago@gmail.com,4
Alan Thompson,General Surgeon,$747 ,76-270527,Byblos,1,Male,Saint Georges,alan.thompson@gmail.com,3
Caitlyn Roberts,Orthopedic Surgeon,$957 ,81-676240,Baalbek,3,Female,Dar El Amal,caitlyn.roberts@gmail.com,8
James Wright,General Surgeon,$993 ,71-496955,Zahle,2,Male,General Hospital,james.wright@gmail.com,23
Jonathan Mendoza,Pediatric Surgeon,$423 ,81-676210,Nabatieh,7,Male,Al Najda,jonathan.mendoza@gmail.com,11
Melody Donaldson,Oncologic Surgeon,"$1,297 ",71-571838,Baalbek,8,Female,Al Zahraa,melody.donaldson@gmail.com,32
Jennifer Mccann,Orthopedic Surgeon,$550 ,81-198243,Jounieh,10,Female,General Hospital,jennifer.mccann@gmail.com,27
Abigail Delgado,Oncologic Surgeon,$627 ,81-122769,Tripoli,1,Male,General Hospital,abigail.delgado@gmail.com,24
Diana Duncan,Orthopedic Surgeon,$859 ,76-393892,Aley,1,Female,Mount Lebanon,diana.duncan@gmail.com,12
Michael Conner,Pediatric Surgeon,"$1,420 ",76-721152,Sidon,8,Male,General Hospital,michael.conner@gmail.com,20
Elizabeth Wright,Orthopedic Surgeon,"$1,448 ",76-297417,Tyre,10,Female,General Hospital,elizabeth.wright@gmail.com,31
Rhonda Smith,Vascular Surgeon,$379 ,81-831106,Nabatieh,4,Female,Hammoud Hospital,rhonda.smith@gmail.com,4
Michael Anderson,Orthopedic Surgeon,$417 ,81-102517,Nabatieh,6,Male,Al Najda,michael.anderson@gmail.com,29
Kevin Boyd,Oncologic Surgeon,$666 ,76-531881,Aley,10,Male,Aley Medical Center,kevin.boyd@gmail.com,13
Steven Pope,Oncologic Surgeon,"$1,036 ",81-337141,Baalbek,3,Male,Al Zahraa,steven.pope@gmail.com,13
Kenneth Harris,Orthopedic Surgeon,"$1,462 ",81-358191,Aley,5,Male,Mount Lebanon,kenneth.harris@gmail.com,13
Karen Ellis,Vascular Surgeon,$518 ,76-274640,Jounieh,1,Female,General Hospital,karen.ellis@gmail.com,17
Amanda Palmer,Cardiothoracic Surgeon,$577 ,76-692354,Jounieh,7,Female,General Hospital,amanda.palmer@gmail.com,8
Jose Shaw,Oncologic Surgeon,$946 ,71-547244,Jounieh,1,Male,General Hospital,jose.shaw@gmail.com,21
Jonathan Baker,General Surgeon,"$1,063 ",81-372805,Zahle,4,Male,General Hospital,jonathan.baker@gmail.com,16
Jennifer Smith,Cardiothoracic Surgeon,"$1,311 ",71-381294,Zahle,10,Female,General Hospital,jennifer.smith@gmail.com,10
Jeffery Rocha,Cardiothoracic Surgeon,"$1,044 ",71-359258,Nabatieh,8,Male,Al Najda,jeffery.rocha@gmail.com,17
Jacob Clayton,Urologic Surgeon,$385 ,76-485754,Aley,2,Male,Aley Medical Center,jacob.clayton@gmail.com,24
Natasha King,General Surgeon,$741 ,76-217939,Jounieh,3,Female,General Hospital,natasha.king@gmail.com,3
Amy Mcneil,General Surgeon,"$1,285 ",71-698092,Tyre,9,Female,General Hospital,amy.mcneil@gmail.com,19
Lori Nichols,Vascular Surgeon,"$1,348 ",76-494582,Zahle,2,Male,General Hospital,lori.nichols@gmail.com,22
Todd Reed,Plastic Surgeon,$747 ,71-215480,Jounieh,4,Male,General Hospital,todd.reed@gmail.com,8
Pamela Holloway,Urologic Surgeon,$848 ,81-688831,Jounieh,8,Female,General Hospital,pamela.holloway@gmail.com,12
Michaela Copeland,Urologic Surgeon,"$1,448 ",76-614835,Nabatieh,2,Female,Hammoud Hospital,michaela.copeland@gmail.com,13
Maria Andrews,Cardiothoracic Surgeon,"$1,077 ",81-705121,Nabatieh,0,Female,Hammoud Hospital,maria.andrews@gmail.com,33
Erik Jackson,Vascular Surgeon,"$1,207 ",76-788479,Baalbek,10,Male,Dar El Amal,erik.jackson@gmail.com,29
Matthew Moran,General Surgeon,"$1,246 ",76-189497,Nabatieh,10,Male,Al Najda,matthew.moran@gmail.com,1
Lauren Molina,Orthopedic Surgeon,"$1,003 ",71-208920,Jounieh,6,Female,General Hospital,lauren.molina@gmail.com,16
Vicki Smith,Oncologic Surgeon,"$1,025 ",76-549691,Tripoli,1,Female,General Hospital,vicki.smith@gmail.com,29
Zachary Townsend,Urologic Surgeon,"$1,018 ",76-610982,Byblos,3,Male,Notre Dame de Secours,zachary.townsend@gmail.com,7
Michael Lopez,Neurosurgeon,"$1,496 ",76-758291,Tripoli,3,Male,General Hospital,michael.lopez@gmail.com,34
Joan Ramirez,Neurosurgeon,$427 ,81-305173,Jounieh,0,Male,General Hospital,joan.ramirez@gmail.com,25
Andrew Morgan,Cardiothoracic Surgeon,"$1,432 ",71-171655,Tyre,4,Male,General Hospital,andrew.morgan@gmail.com,2
Richard Williamson,Plastic Surgeon,$420 ,71-215196,Baalbek,10,Male,Al Zahraa,richard.williamson@gmail.com,34
Todd Williams,Oncologic Surgeon,"$1,189 ",81-468922,Baalbek,0,Male,Dar El Amal,todd.williams@gmail.com,33
Cindy Wilson,Oncologic Surgeon,$666 ,81-974784,Tripoli,2,Female,General Hospital,cindy.wilson@gmail.com,25
Daniel Choi,Cardiothoracic Surgeon,"$1,495 ",71-699343,Nabatieh,10,Male,Hammoud Hospital,daniel.choi@gmail.com,11
Renee Campbell,Plastic Surgeon,$725 ,81-239670,Beirut,4,Female,Najjar,renee.campbell@gmail.com,22
Jason Serrano,Pediatric Surgeon,"$1,452 ",76-877131,Jounieh,0,Male,General Hospital,jason.serrano@gmail.com,23
Melissa Obrien,Pediatric Surgeon,"$1,409 ",81-296910,Beirut,3,Female,CMC,melissa.obrien@gmail.com,30
Suzanne Rodriguez,Orthopedic Surgeon,"$1,287 ",71-243461,Zahle,9,Female,General Hospital,suzanne.rodriguez@gmail.com,6
Melissa Parker,Urologic Surgeon,$784 ,76-852585,Jounieh,9,Female,General Hospital,melissa.parker@gmail.com,19
James Barnett,Orthopedic Surgeon,$818 ,81-103258,Byblos,1,Male,Notre Dame de Secours,james.barnett@gmail.com,5
Michael Young,General Surgeon,$863 ,76-990150,Beirut,5,Male,Rafic Hariri,michael.young@gmail.com,13
Kristi Martin,Pediatric Surgeon,"$1,335 ",81-242406,Aley,6,Female,Mount Lebanon,kristi.martin@gmail.com,8
Jason Orr,Oncologic Surgeon,"$1,241 ",81-359494,Zahle,8,Male,General Hospital,jason.orr@gmail.com,34
Vincent Holmes,Pediatric Surgeon,$483 ,81-473589,Beirut,3,Male,CMC,vincent.holmes@gmail.com,8
Morgan Tran,Cardiothoracic Surgeon,$411 ,76-373912,Zahle,0,Male,General Hospital,morgan.tran@gmail.com,34
Andrew Rivera,Plastic Surgeon,$808 ,76-380975,Baalbek,9,Male,Dar El Amal,andrew.rivera@gmail.com,21
Julie Brown,General Surgeon,"$1,295 ",71-232039,Nabatieh,9,Female,Al Najda,julie.brown@gmail.com,17
Roger Nelson,Plastic Surgeon,$344 ,71-110794,Jounieh,4,Male,General Hospital,roger.nelson@gmail.com,18
Robert Williams,Urologic Surgeon,$336 ,76-691391,Jounieh,10,Male,General Hospital,robert.williams@gmail.com,30
Brian Ho,Plastic Surgeon,$396 ,71-175789,Beirut,6,Male,AUBMC,brian.ho@gmail.com,6
Karen Gomez,Cardiothoracic Surgeon,$799 ,81-384410,Beirut,6,Female,AUBMC,karen.gomez@gmail.com,22
Michael Schmidt,Orthopedic Surgeon,$811 ,76-140566,Zahle,0,Male,General Hospital,michael.schmidt@gmail.com,32
Michael Carey,General Surgeon,$775 ,81-576145,Baalbek,1,Male,Al Zahraa,michael.carey@gmail.com,3
Joshua Franco,Neurosurgeon,"$1,299 ",81-709187,Baalbek,4,Male,Dar El Amal,joshua.franco@gmail.com,7
Travis Lam,Vascular Surgeon,$318 ,81-316229,Sidon,5,Male,General Hospital,travis.lam@gmail.com,4
Nancy Stone,Orthopedic Surgeon,"$1,232 ",71-371731,Tripoli,0,Female,General Hospital,nancy.stone@gmail.com,17
Taylor Fisher,Orthopedic Surgeon,$609 ,76-371376,Nabatieh,7,Male,Al Najda,taylor.fisher@gmail.com,4
Maria Stevenson,Orthopedic Surgeon,$724 ,81-773597,Baalbek,7,Female,Dar El Amal,maria.stevenson@gmail.com,8
Mark Olsen,Vascular Surgeon,$321 ,71-580223,Beirut,9,Male,Najjar,mark.olsen@gmail.com,7
Jordan Woods,General Surgeon,$635 ,71-343169,Aley,6,Male,Aley Medical Center,jordan.woods@gmail.com,20
Nathan Simpson,Pediatric Surgeon,"$1,095 ",81-783963,Byblos,6,Male,Saint Georges,nathan.simpson@gmail.com,15
David Lee,Orthopedic Surgeon,"$1,180 ",81-448022,Tyre,0,Male,General Hospital,david.lee@gmail.com,10
Douglas Mooney,General Surgeon,$626 ,71-392551,Zahle,7,Male,General Hospital,douglas.mooney@gmail.com,31
James Brown,General Surgeon,$345 ,76-333330,Byblos,10,Male,Saint Georges,james.brown@gmail.com,22
Wanda Anderson,Vascular Surgeon,$556 ,71-209559,Tripoli,10,Female,General Hospital,wanda.anderson@gmail.com,21
Gregory Williams,General Surgeon,$349 ,71-947706,Nabatieh,10,Male,Hammoud Hospital,gregory.williams@gmail.com,1
Patrick Williams,Vascular Surgeon,$873 ,71-746927,Nabatieh,8,Male,Al Najda,patrick.williams@gmail.com,34
Nancy Brown,Neurosurgeon,$896 ,81-667864,Jounieh,2,Female,General Hospital,nancy.brown@gmail.com,8
Brad Cooper,Vascular Surgeon,$809 ,76-330462,Tyre,4,Male,General Hospital,brad.cooper@gmail.com,12
Melinda Robertson,General Surgeon,$837 ,81-675741,Tyre,2,Female,General Hospital,melinda.robertson@gmail.com,35
Dustin Bright,Cardiothoracic Surgeon,"$1,009 ",71-397234,Beirut,2,Male,CMC,dustin.bright@gmail.com,3
Isaiah Roman,Plastic Surgeon,"$1,385 ",76-781535,Nabatieh,1,Male,Al Najda,isaiah.roman@gmail.com,31
Rose Rogers,Oncologic Surgeon,"$1,324 ",71-307860,Tyre,5,Female,General Hospital,rose.rogers@gmail.com,5
Julia Brown,General Surgeon,$534 ,76-529616,Baalbek,10,Female,Dar El Amal,julia.brown@gmail.com,24
Patricia Rivas,Oncologic Surgeon,"$1,257 ",71-546361,Tripoli,3,Female,General Hospital,patricia.rivas@gmail.com,26
Gregory Fleming,Cardiothoracic Surgeon,"$1,456 ",71-466011,Nabatieh,10,Male,Al Najda,gregory.fleming@gmail.com,17
Teresa Smith,General Surgeon,$466 ,76-836662,Aley,7,Female,Mount Lebanon,teresa.smith@gmail.com,33
Victoria Ford,Neurosurgeon,$703 ,71-439819,Tripoli,7,Female,General Hospital,victoria.ford@gmail.com,2
Jasmine Bond,Urologic Surgeon,$597 ,81-659137,Baalbek,5,Female,Al Zahraa,jasmine.bond@gmail.com,22
Wendy Taylor,Neurosurgeon,"$1,219 ",71-798983,Sidon,0,Female,General Hospital,wendy.taylor@gmail.com,1
Brian Wagner,Vascular Surgeon,"$1,391 ",81-609172,Tyre,3,Male,General Hospital,brian.wagner@gmail.com,27
Tina Schultz,Plastic Surgeon,"$1,207 ",76-997093,Byblos,6,Female,Saint Georges,tina.schultz@gmail.com,32
Patricia Phillips,Pediatric Surgeon,$945 ,81-474556,Tripoli,2,Female,General Hospital,patricia.phillips@gmail.com,25
Jillian Obrien,Urologic Surgeon,"$1,115 ",81-814076,Tripoli,0,Male,General Hospital,jillian.obrien@gmail.com,2
Justin Stewart,Plastic Surgeon,"$1,402 ",71-693729,Nabatieh,5,Male,Hammoud Hospital,justin.stewart@gmail.com,13
George Smith,Neurosurgeon,"$1,385 ",71-313684,Nabatieh,8,Male,Al Najda,george.smith@gmail.com,3
Jessica Douglas,Oncologic Surgeon,"$1,043 ",81-524722,Sidon,8,Female,General Hospital,jessica.douglas@gmail.com,17
Kayla Lynch,Vascular Surgeon,$943 ,81-563753,Baalbek,2,Female,Dar El Amal,kayla.lynch@gmail.com,26
Timothy Whitney,Orthopedic Surgeon,$984 ,81-600737,Aley,3,Male,Aley Medical Center,timothy.whitney@gmail.com,28
James Miller,Pediatric Surgeon,"$1,218 ",76-438390,Beirut,3,Male,Rafic Hariri,james.miller@gmail.com,5
Elizabeth Lee,Orthopedic Surgeon,"$1,299 ",71-472978,Baalbek,10,Female,Al Zahraa,elizabeth.lee@gmail.com,27
Michael Sims,Orthopedic Surgeon,$903 ,71-543370,Tyre,1,Male,General Hospital,michael.sims@gmail.com,13
Christine Allen,Orthopedic Surgeon,$421 ,81-594599,Aley,10,Female,Mount Lebanon,christine.allen@gmail.com,9
Michael King,Plastic Surgeon,"$1,475 ",81-712935,Beirut,10,Male,CMC,michael.king@gmail.com,2
Tammy Garcia,Vascular Surgeon,$306 ,76-124945,Beirut,9,Female,Rafic Hariri,tammy.garcia@gmail.com,19
Melissa Watson,Pediatric Surgeon,"$1,081 ",71-630957,Nabatieh,9,Female,Hammoud Hospital,melissa.watson@gmail.com,27
Cody Olson,Neurosurgeon,"$1,336 ",76-267351,Nabatieh,7,Male,Al Najda,cody.olson@gmail.com,32
Christopher Eaton,Oncologic Surgeon,$922 ,71-592383,Zahle,8,Male,General Hospital,christopher.eaton@gmail.com,10
Dustin Russell,Plastic Surgeon,"$1,285 ",71-187490,Tyre,2,Male,General Hospital,dustin.russell@gmail.com,32
Olivia Oneal,Neurosurgeon,"$1,248 ",81-860490,Tyre,5,Female,General Hospital,olivia.oneal@gmail.com,16
Jodi Hill,General Surgeon,$484 ,71-470107,Zahle,4,Male,General Hospital,jodi.hill@gmail.com,24
Michael Allen,Vascular Surgeon,$933 ,71-197704,Tripoli,0,Male,General Hospital,michael.allen@gmail.com,3
Nichole Scott,Urologic Surgeon,$993 ,81-620961,Baalbek,4,Female,Dar El Amal,nichole.scott@gmail.com,24
Emily Young,Cardiothoracic Surgeon,"$1,377 ",81-976459,Nabatieh,10,Female,Al Najda,emily.young@gmail.com,17
Shawn Castillo,Cardiothoracic Surgeon,$921 ,76-741783,Aley,6,Male,Mount Lebanon,shawn.castillo@gmail.com,33
Mike Gutierrez,Pediatric Surgeon,$439 ,71-992424,Jounieh,0,Male,General Hospital,mike.gutierrez@gmail.com,19
Abigail Le,Pediatric Surgeon,"$1,180 ",76-305240,Byblos,6,Male,Saint Georges,abigail.le@gmail.com,15
Chelsea Trujillo,Vascular Surgeon,$962 ,76-420860,Byblos,9,Male,Saint Georges,chelsea.trujillo@gmail.com,16
Christopher Jackson,General Surgeon,"$1,101 ",81-229488,Zahle,5,Male,General Hospital,christopher.jackson@gmail.com,20
Carol Vazquez,Vascular Surgeon,"$1,070 ",71-916945,Baalbek,9,Female,Al Zahraa,carol.vazquez@gmail.com,10
Margaret Conner,Oncologic Surgeon,$548 ,76-185552,Nabatieh,4,Female,Al Najda,margaret.conner@gmail.com,17
Corey Diaz,Vascular Surgeon,"$1,293 ",71-737219,Tyre,9,Male,General Hospital,corey.diaz@gmail.com,18
Ryan Williams,Neurosurgeon,"$1,405 ",71-568141,Zahle,3,Male,General Hospital,ryan.williams@gmail.com,29
James Shaw,Oncologic Surgeon,$315 ,71-704423,Baalbek,10,Male,Al Zahraa,james.shaw@gmail.com,28
David Li,General Surgeon,$427 ,81-486277,Nabatieh,5,Male,Hammoud Hospital,david.li@gmail.com,26
Tyler Simpson,Neurosurgeon,$604 ,76-358418,Jounieh,5,Male,General Hospital,tyler.simpson@gmail.com,6
Anna Payne,Cardiothoracic Surgeon,$717 ,76-538119,Sidon,7,Female,General Hospital,anna.payne@gmail.com,25
Nancy Rhodes,Pediatric Surgeon,$468 ,81-427863,Nabatieh,2,Female,Hammoud Hospital,nancy.rhodes@gmail.com,1
Vincent Smith,Neurosurgeon,"$1,494 ",71-560729,Jounieh,9,Male,General Hospital,vincent.smith@gmail.com,16
Jacob Young,Urologic Surgeon,$380 ,81-960481,Zahle,7,Male,General Hospital,jacob.young@gmail.com,9
Lindsey Chavez,Urologic Surgeon,$791 ,76-151433,Sidon,8,Female,General Hospital,lindsey.chavez@gmail.com,11
Matthew Martinez,Urologic Surgeon,"$1,067 ",71-725134,Sidon,1,Male,General Hospital,matthew.martinez@gmail.com,18
Valerie Ruiz,Cardiothoracic Surgeon,$410 ,81-723606,Jounieh,4,Female,General Hospital,valerie.ruiz@gmail.com,17
Brad Garza,Orthopedic Surgeon,"$1,118 ",71-430518,Nabatieh,9,Male,Hammoud Hospital,brad.garza@gmail.com,14
Julia Martinez,Plastic Surgeon,"$1,241 ",76-113683,Baalbek,5,Female,Dar El Amal,julia.martinez@gmail.com,20
Alyssa Johnson,General Surgeon,"$1,359 ",81-560251,Sidon,2,Female,General Hospital,alyssa.johnson@gmail.com,3
Sophia Pollard,Orthopedic Surgeon,$908 ,76-528489,Zahle,5,Female,General Hospital,sophia.pollard@gmail.com,23
Michael Walter,Oncologic Surgeon,$553 ,81-770553,Nabatieh,10,Male,Hammoud Hospital,michael.walter@gmail.com,35
Michael Duffy,Orthopedic Surgeon,$668 ,71-403493,Beirut,10,Male,Najjar,michael.duffy@gmail.com,33
Erin Taylor,Oncologic Surgeon,"$1,162 ",76-997861,Aley,3,Male,Aley Medical Center,erin.taylor@gmail.com,8
Dennis Green,Urologic Surgeon,$914 ,76-563828,Byblos,1,Male,Saint Georges,dennis.green@gmail.com,14
Stephen Lopez,Pediatric Surgeon,$869 ,76-405421,Sidon,8,Male,General Hospital,stephen.lopez@gmail.com,12
Larry Davis,Plastic Surgeon,$438 ,76-687431,Zahle,9,Male,General Hospital,larry.davis@gmail.com,27
Kathryn Valentine,Urologic Surgeon,$816 ,71-573254,Nabatieh,3,Male,Hammoud Hospital,kathryn.valentine@gmail.com,11
Karen Copeland,Neurosurgeon,"$1,197 ",71-304226,Zahle,2,Female,General Hospital,karen.copeland@gmail.com,27
Roberto Williams,Urologic Surgeon,"$1,008 ",71-768535,Byblos,0,Male,Saint Georges,roberto.williams@gmail.com,3
